idx,question,promql
206,Calculate the change in the network receiving packet loss rate of the ts-admin-travel-service container on the k8s-node4 node between the current hour and the previous hour.,"'rate(container_network_receive_packets_dropped_total{node=""k8s-node4"", pod=~""ts-admin-travel-service-.*""}[1h]) / rate(container_network_receive_packets_total{node=""k8s-node4""}[1h])\n-\nrate(container_network_receive_packets_dropped_total{node=""k8s-node4"", pod=~""ts-admin-travel-service-.*""}[1h] offset 1h) / rate(container_network_receive_packets_total{node=""k8s-node4""}[1h] offset 1h)'"
207,What is the current total I/O in progress on each device of the node hosting the tsdb-mysql service's pods?,"'sum by(device) (node_disk_io_now{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""})'"
208,Display the time periods when the per-second call count (calculated in 5 minutes window) for the API used to create new station was below 100.,"'rate(traces_spanmetrics_calls_total{span_name=""POST /api/v1/stationservice/stations""}[5m]) < 100'"
209,Calculate the average latency of the adding route API over a 5-minute window.,"'rate(traces_spanmetrics_latency_sum{span_name=""POST /api/v1/adminrouteservice/adminroute""}[5m]) / rate(traces_spanmetrics_latency_count{span_name=""POST /api/v1/adminrouteservice/adminroute""}[5m])'"
210,How many times was the POST /api/v1/seatservice/seats API called in the past day? Calculate the increase in the number of calls compared to the same period last week.,"'increase(traces_spanmetrics_calls_total{span_name=""POST /api/v1/seatservice/seats""}[1d]) - increase(traces_spanmetrics_calls_total{span_name=""POST /api/v1/seatservice/seats""}[1d] offset 1w)'"
211,"Can you show me the failure ratio of requests from the inside payment service to its downstream services over the past 5 minutes, if it's higher than 5%?","'(rate(traces_service_graph_request_failed_total{client=""ts-inside-payment-service""}[5m]) / rate(traces_service_graph_request_total{client=""ts-inside-payment-service""}[5m])) * 100 > 5'"
212,"Show the current CPU usage of all containers in the service that provides the API for registering users, calculated over a 5-minute window.","'rate(container_cpu_usage_seconds_total{pod=~""ts-user-service-5fc7759cf4-.*""}[5m])'"
213,I need the total number of network packet receive errors on the eth0 and ens160 for all pods of the execute service deployed on node k8s-node5 in the last hour.,"'sum(increase(container_network_receive_errors_total{node=""k8s-node5"", interface=~""eth0|ens160"", pod=""ts-execute-service-76584dd465-96d4p""}[1h]))'"
214,"Using data from the past 30 minutes, perform a linear prediction of the page cache memory currently being used by the containers of the admin user service on k8s-node2 to forecast the next 5 minutes' usage.","'predict_linear(container_memory_cache{node=""k8s-node2"", container=""ts-admin-user-service""}[30m], 300)'"
215,Show the rate of change in allocated TCP socket numbers on k8s-node1 in the last 5 minutes.,"'rate(node_sockstat_TCP_alloc{instance=""10.176.122.151:9100""}[5m])'"
216,Show the current 1-minute CPU load average for all nodes where the gateway service is deployed.,"'node_load1{instance=~""10.176.122.152:9100|10.176.122.162:9100""}'"
217,Calculate the CPU time used by each individual pod in the services that call the ts-auth-service over the last 30 minutes.,"'sum by(pod) (increase(container_cpu_usage_seconds_total{pod=~""ts-gateway-service-6f99b4b794-.*|ts-user-service-5fc7759cf4-.*""}[30m]))'"
218,"What is the current count of TCP sockets in the mem state on nodes hosting the gateway service, and how has this count changed since the same time yesterday? Calculate the difference.","'(node_sockstat_TCP_mem{instance=~""10.176.122.152:9100|10.176.122.162:9100""}) - (node_sockstat_TCP_mem{instance=~""10.176.122.152:9100|10.176.122.162:9100""} offset 1d)'"
219,Calculate the p90 latency of the APIs that are related to registering users over the past hour.,"'histogram_quantile(0.90, rate(traces_spanmetrics_latency_bucket{span_name=""POST /api/v1/userservice/users/register""}[1h]))'"
220,How many network receive errors have all pods of the tsdb-mysql statefulset on node k8s-node3 encountered in the past 24 hours?,"'increase(container_network_receive_errors_total{pod=~""tsdb-mysql-.*"", node=""k8s-node3""}[24h])'"
221,"Checks whether the 95th percentile of the request duration from ts-basic-service to ts-route-service (from the client's perspective) is greater than 0.09 in the past 60 minutes, and the CPU usage (accounting for limit) of pods of ts-route-service is less than 3%.","'label_replace(\n    100 * sum(rate(container_cpu_usage_seconds_total{pod=~""ts-route-service-.*""}[60m])) by(pod) / sum(kube_pod_container_resource_limits{resource=""cpu"", unit=""core""}) by(pod), ""server"", ""$1"", ""pod"", ""(ts-.*-service)-.*""\n) < 3\nand on(server)\nhistogram_quantile(0.95, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-basic-service"", server=""ts-route-service""}[60m])) > 0.09'"
222,Could you provide the ratio of total network packet drops to total network packets received on k8s-node1 and k8s-node2 for the past hour?,"'(increase(node_network_receive_drop_total{instance=""10.176.122.151:9100""}[1h]) / increase(node_network_receive_packets_total{instance=""10.176.122.151:9100""}[1h])) * 100\n(increase(node_network_receive_drop_total{instance=""10.176.122.152:9100""}[1h]) / increase(node_network_receive_packets_total{instance=""10.176.122.152:9100""}[1h])) * 100'"
223,Display the number of calls to the creating user API in the past 5 minutes.,"'increase(traces_spanmetrics_calls_total{span_name=""POST /api/v1/auth""}[5m])'"
224,What are the soft ulimit values for the container root processes of all pods of the tsdb-mysql service on node k8s-node5?,"'container_ulimits_soft{pod=~""tsdb-mysql-.*"", node=""k8s-node5""}'"
225,Show the average latency of the API related to querying train types in the past 5 minutes.,"'rate(traces_spanmetrics_latency_sum{span_name=""GET /api/v1/trainservice/trains""}[5m]) / rate(traces_spanmetrics_latency_count{span_name=""GET /api/v1/trainservice/trains""}[5m])'"
226,What was the average rate of disk read time per second for nodes hosting pods of the tsdb-mysql statefulset over the past 5 minutes?,"'avg(rate(node_disk_read_time_seconds_total{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""}[5m]))'"
227,What is the total number of physical CPU cores for the nodes hosting the news service?,"'sum(machine_cpu_physical_cores{node=~""k8s-node1|k8s-node4""})'"
228,What was the failure ratio for the gateway service's requests to the execute service over the past five minutes? Return the difference between this value and that from the same period one day ago.,"'rate(traces_service_graph_request_failed_total{client=""ts-gateway-service"", server=""ts-execute-service""}[5m]) / rate(traces_service_graph_request_total{client=""ts-gateway-service"", server=""ts-execute-service""}[5m]) - rate(traces_service_graph_request_failed_total{client=""ts-gateway-service"", server=""ts-execute-service""}[5m] offset 1d) / rate(traces_service_graph_request_total{client=""ts-gateway-service"", server=""ts-execute-service""}[5m] offset 1d)'"
229,"Among all pods of the admin route service, which one has the highest total memory usage summed across all its containers? Show its current total memory usage.","'topk(1, sum by(pod) (container_memory_usage_bytes{pod=~""ts-admin-route-service-5b57ff6d57-.*""}))'"
230,How many bytes have been written to the disk on the sda device by the node hosting the otelcol-opentelemetry-collector deployment in the past 24 hours?,"'increase(node_disk_written_bytes_total{device=""sda"", instance=~""10.176.122.151:9100|10.176.122.152:9100|10.176.122.153:9100|10.176.122.161:9100""}[24h])'"
h001,Which pod had the highest CPU usage time in node k8s-node1 over the past 10 minutes? Identify it and show its CPU usage time.,"topk(1, sum(increase(container_cpu_usage_seconds_total{node=""k8s-node1""}[10m])) by (pod))"
h002,I need the memory usage of each pod for the service which manages order deployed on node k8s-node2.,"sum(container_memory_usage_bytes{node=""k8s-node2"",pod=~""ts-order-service-.*""}) by (pod)"
h003,How many times in total did all the pods of the service allocating seats and querying tickets restart over the past day?,"sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-seat-service-.*""}[1d]))"
h004,Which container on k8s-node2 had the most memory allocation failures in the past 30 minutes?,"topk(1, increase(container_memory_failures_total{node=""k8s-node2""}[30m]))"
h005,"In the past hour, how many bytes had been transmitted by pods for the service which manages station information on node k8s-node3 ?","sum(increase(container_network_transmit_bytes_total{pod=~""ts-station-service-.*""}[1h]))"
h006,Show the CPU time used by the pods of all the services that were called by service manageing security config files in the last 1 hour.,"sum(increase(container_cpu_usage_seconds_total{pod=~""ts-order-service-.*|ts-order-other-service-.*""}[1h])) by (pod)"
h007,How many seconds did containers for the service about news on k8s-node1 spend on I/O in the past hour?,"increase(container_fs_io_time_seconds_total{node=""k8s-node1"",pod=~""ts-news-service-.*""}[1h])"
h008,Show the number of processes running inside each pod for the service that manages train's trip on k8s-node4.,"sum(container_processes{pod=~""ts-travel-service-.*"",node=""k8s-node4""}) by (pod)"
h009,"Based on the data from the past 4 hours, predict whether the memory on the 5th node of k8s cluster will be fully occupied in 4 hours.","predict_linear(node_memory_MemFree_bytes{instance=""10.176.122.162:9100""}[4h], 4 * 3600) < 0"
h010,Get the number of success ssh tunnel open attempt on node k8s-master during the past 24 hours.,"increase(ssh_tunnel_open_count{instance=~""10.176.122.154:.*""}[1h]) - increase(ssh_tunnel_open_fail_count[1h])"
h011,How many logical CPU cores does the nodes hosting the user service have?,"machine_cpu_cores - on(node) sum(container_cpu_usage_seconds_total{pod=~""ts-user-service-.*""} * 0) by (node)"
h012,I need the number of calls for each API of the train seat service in the past 24 hours.,"increase(traces_spanmetrics_calls_total{service=""ts-seat-service""}[1d])"
h013,Show me how many times any config entity was queried by the configName during the past 2 hours.,"increase(traces_spanmetrics_calls_total{span_name=""GET /api/v1/configservice/configs/{configName}""}[2h])"
h014,Display the 90th percentile latency over last 5 minutes of the API which gets ticket list by date and trip id.,"histogram_quantile(0.9, rate(traces_spanmetrics_latency_bucket{span_name=""POST /api/v1/orderservice/order/tickets""}[5m]))"
h015,Get the p95 latency for APIs that are related to basic travel information over the past week.,"histogram_quantile(0.95, rate(traces_spanmetrics_latency_bucket{service=""ts-basic-service""}[1w]))"
h016,Show the total number of failed requests of each service called by the basic service during the past hour.,"increase(traces_service_graph_request_failed_total{client=""ts-basic-service"",server!=""""}[1h])"
h017,I need the maximum latency for APIs about order management for administrator in the past three hours.,"histogram_quantile(1, rate(traces_spanmetrics_latency_bucket{service=""ts-admin-order-service""}[3h]))"
h018,Compute the average request durations from the server's perspective over a 5-minute window.,histogram_sum(rate(traces_service_graph_request_server_seconds_bucket[5m])) / histogram_count(rate(traces_service_graph_request_server_seconds_bucket[5m]))
h019,"Based on the data from the past 4 hours, predict whether filesystems on the 3rd node of k8s cluster will be fully occupied in 4 hours.","predict_linear(node_filesystem_avail_bytes{instance=~""10.176.122.153:.*""}[4h], 4 * 3600) < 0"
h020,Which request that requested by the service preserving train's ticket has the longest p95 request duration?,"topk(1, histogram_quantile(0.95, traces_service_graph_request_server_seconds_bucket{client=""ts-preserve-service""}))"
h021,Show the average number of replicas per deployment of all services excluding the UI dashboard service in the past hour.,"avg_over_time(kube_deployment_status_replicas{deployment!=""ts-ui-dashboard""}[1h])"
h022,Which node hosting the seat allocation service has the highest memory available rate? Identify it and display its memory available rate as a percentage.,"topk(1, node_memory_MemAvailable_bytes{instance=~""10.176.122.151:.*|10.176.122.152:.*""} / node_memory_MemTotal_bytes * 100)"
h023,Calculate the absolute change of memory cache of each pod on the 3rd node of k8s cluster over the last hour.,"sum(delta(container_memory_cache{node=""k8s-node3""}[1h])) by (pod)"
h024,Calculate the derivative of open socket number of each container for travel service in 10.176.122.151 over the past 1 hour.,"deriv(container_sockets{node=""k8s-node1"",pod=~""ts-travel-service-.*""}[1h])"
h025,What is the memory swap space usage rate for the nodes hosting the service which manages station information? Show the final result as a percentage.,"(node_memory_SwapTotal_bytes{instance=~""10.176.122.154:.*|10.176.122.151:.*""} - node_memory_SwapFree_bytes) / node_memory_SwapTotal_bytes * 100"
h026,Which container of the service about order management for administrator had the most errors in transmit packets in the last 30 minutes?,"topk(1, increase(container_network_transmit_errors_total{pod=~""ts-admin-order-service-.*""}[30m]))"
h027,I need the size in MB of current memory working set for each pod of the service managing basic information for administrator.,"sum(container_memory_working_set_bytes{pod=~""ts-admin-basic-info-service-.*""}) by (pod) / 1024 / 1024"
h028,"Identify the upstream services of the service managing user informations and auth operation, then display the total number of pod restarts for them over the past day.","sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-user-service-.*|ts-gateway-service-.*""}[1d]))"
h029,How many times the API getting all trains information by admin was called during the past day.,"increase(traces_spanmetrics_calls_total{span_name=""GET /api/v1/adminbasicservice/adminbasic/trains""}[1d])"
h030,"Display the call rate of all the APIs of the service about inside payment, money and account in the past 2 weeks except the API about drawback user's money.","rate(traces_spanmetrics_calls_total{service=""ts-inside-payment-service"",span_name!=""GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money}""}[2w])"
h031,"Currently, which containers on the second node of k8s cluster have reached 50% of the limit of bytes that can be consumed by the container on filesystem?","container_fs_usage_bytes{node=""k8s-node2""} >= (container_fs_limit_bytes * 0.5)"
h032,Can you calculate the proportion of page cache memory to currently used memory for each pod of ts-assurance-service? Display the final result as a percentage.,"100 * sum by (pod) (container_memory_cache{pod=~""ts-assurance-service-.*""}) / sum by (pod) (container_memory_usage_bytes)"
h033,Calculate the ratio of network packet drops to total network packets transmitted of each device on k8s-node4 in the past hour. Display the final result as a percentage.,"100 * increase(node_network_transmit_drop_total{instance=~""10.176.122.161:.*""}[1h]) / increase(node_network_transmit_packets_total[1h])"
h034,Please calculate the inode usage ratio for the filesystem on the Kubernetes node k8s-node4. Display the final result as a percentage.,"100 * (container_fs_inodes_total{node=""k8s-node4""} - container_fs_inodes_free) / container_fs_inodes_total"
h035,"Retrieve the node available filesystem bytes for each instance and job, and combine them with Node Exporter's build version in the final result.","node_filesystem_avail_bytes * on(instance, job) group_left(version) node_exporter_build_info"
h036,"Please calculate the average latency for the API ""GET /api/v1/priceservice/prices"" over the past 5 minutes.","increase(traces_spanmetrics_latency_sum{span_name=""GET /api/v1/priceservice/prices""}[5m]) / increase(traces_spanmetrics_latency_count[5m])"
h037,I need the average request durations from the service which manages user informations and auth operation to its downstream services over the past 24 hours.,"increase(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[24h]) / increase(traces_service_graph_request_client_seconds_count[24h])"
h038,Retrieve the maximum memory usage for each container of the gateway service which was deployed on k8s-node2 over the past week.,"max_over_time(container_memory_max_usage_bytes{pod=~""ts-gateway-service-.*"",node=""k8s-node2""}[1w])"
h039,Which nodes had an average CPU usage rate exceeding 50% over the past five minutes? Identify them and display their average CPU usage rate as percentages.,"(100 - (avg by(instance) (rate(node_cpu_seconds_total{mode=""idle""}[5m])) * 100)) > 50"
h040,I need the average CPU usage rate as a percentage for each node of the k8s cluster over the past five minutes.,"100 - 100 * sum by(instance) (increase(node_cpu_seconds_total{mode=""idle""}[5m])) / sum by(instance) (increase(node_cpu_seconds_total[5m]))"
h041,Which API among all the APIs of the admin user service and admin order service was called the most times over the past week?,"topk(1, increase(traces_spanmetrics_latency_count{service=~""ts-admin-user-service|ts-admin-order-service""}[1w]))"
h042,Which request to the service ts-travel2-service was requested the most times over the past day?,"topk(1, increase(traces_service_graph_request_server_seconds_count{server=""ts-travel2-service""}[1d]))"
h043,Determine which API of the service which manages contacts has had the greatest increase in call volume over the past 24 hours.,"topk(1, increase(traces_spanmetrics_latency_count{service=""ts-contacts-service""}[24h]))"
h044,Display the average request duration for all traffic from the auth service to its downstream services over a 5-minute interval.,"rate(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-auth-service""}[5m])"
h045,"Among the nodes hosting the food service, which node had the shortest CPU idle time in the past day?","bottomk(1, sum(increase(node_cpu_seconds_total{mode=""idle"",instance=""10.176.122.151:9100""}[1d])) by (instance))"
h046,Which endpoint of the rebook service experienced the greatest average response time during the past 24 hours?,"topk(1, rate(traces_spanmetrics_latency_sum{service=""ts-rebook-service""}[24h]) / rate(traces_spanmetrics_latency_count{service=""ts-rebook-service""}[1d]))"
h047,Count the number of error of different Docker operation types in the whole cluster over the past 1 hour.,sum(increase(kubelet_docker_operations_errors_total[1h])) by (operation_type)
h048,How many physical CPU cores do the nodes hosting the basic info service or news service have?,"machine_cpu_physical_cores{instance=~""10.176.122.162:.*|10.176.122.152:.*""}"
h049,Calculate the age of endpoints for the service which manage configs and the service which manages security config files.,"time() - kube_endpoint_created{endpoint=~""ts-config-service|ts-security-service""}"
h050,"In the past hour, how many bytes had been transmitted by pods for service ts-station-service on node k8s-node3 ?","sum(increase(container_network_transmit_bytes_total{pod=~""ts-station-service-.*""}[1h]))"
